Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner
;;;2016Arbeitslosenquote;2017Arbeitslosenquote;2018Arbeitslosenquote;2019Arbeitslosenquote;2020Arbeitslosenquote;2021Arbeitslosenquote;2016Ausländische Arbeitslose;2017Ausländische Arbeitslose;2018Ausländische Arbeitslose;2019Ausländische Arbeitslose;2020Ausländische Arbeitslose;2021Ausländische Arbeitslose;2022Ausländische Arbeitslose;2016Beschäftigtenquote Ausländer;2017Beschäftigtenquote Ausländer;2018Beschäftigtenquote Ausländer;2019Beschäftigtenquote Ausländer;2020Beschäftigtenquote Ausländer;2021Beschäftigtenquote Ausländer;2022Beschäftigtenquote Ausländer;2016Bruttoverdienst;2017Bruttoverdienst;2018Bruttoverdienst;2019Bruttoverdienst;2020Bruttoverdienst;2021Bruttoverdienst;2016Haushaltseinkommen;2017Haushaltseinkommen;2018Haushaltseinkommen;2019Haushaltseinkommen;2020Haushaltseinkommen;2021Haushaltseinkommen;2016Kaufkraft;2017Kaufkraft;2018Kaufkraft;2019Kaufkraft;2020Kaufkraft;2021Kaufkraft;2016Bruttoinlandsprodukt je Einwohner;2017Bruttoinlandsprodukt je Einwohner;2018Bruttoinlandsprodukt je Einwohner;2019Bruttoinlandsprodukt je Einwohner;2020Bruttoinlandsprodukt je Einwohner;2021Bruttoinlandsprodukt je Einwohner
05570;Warendorf;Kreise;5,82;5,55;4,89;4,58;5,08;4,68;27;32,01;32,67;31,72;32,84;32,37;36,17;40,12;43,44;46,14;48,49;51,68;54,44;52,51;2.570,68;2.608,35;2.702,24;2.772,59;2.790,32;2.909,86;1.867,63;1.910,68;2.002,48;2.026,45;2.040,61;2.071,32;23.321,53;24.239,07;24.379,16;24.048,01;25.213,45;26.279,61;29,99;31,14;31,12;32,69;33,33;34,5
05711;Bielefeld, Stadt;Kreise;8,83;8,26;7,11;7,26;8,42;8,69;34,38;34,7;32,62;32,25;33,87;37,89;39,03;37,81;40,35;41,52;42,57;42,39;45,24;45,54;2.736,47;2.795,59;2.884,35;2.969,99;2.966,30;3.060,64;1.815,53;1.775,27;1.848,07;1.854,78;1.887,40;1.919,01;22.947,88;23.680,18;23.812,05;23.459,41;24.422,19;25.105,08;38,27;39,87;41,31;42,52;42,58;44,23
05754;Gütersloh;Kreise;4,76;4,54;4,03;3,96;4,61;4,05;30,22;33,82;33,33;33,72;33,9;33,11;37,38;52,04;54,9;57,47;59,01;60,35;62,54;60,88;2.777,88;2.814,58;2.901,02;2.964,19;2.989,37;3.109,70;1.986,30;1.991,41;2.095,88;2.159,91;2.166,60;2.202,04;24.172,92;24.816,12;24.884,27;24.506,46;25.722,09;26.441,78;45,42;45,83;47,98;50,3;51,63;52,01
05758;Herford;Kreise;5,76;5,63;5,29;5,12;5,95;5,49;22,58;25,16;25,69;25,8;26,65;26,89;31,83;37,51;39,92;42,05;44,44;44,57;48,24;47,01;2.602,30;2.661,44;2.727,13;2.795,70;2.785,56;2.881,84;1.787,63;1.840,24;1.961,22;1.970,44;1.993,57;2.036,66;24.116,75;24.646,40;24.669,06;24.264,02;25.433,27;26.361,94;32,29;33,1;33,82;35,22;34,82;36,54
05762;Höxter;Kreise;5,02;4,57;3,88;3,74;4,27;3,95;18,67;18,75;16,56;16,72;17,75;17,65;24,17;31,33;34,39;38,2;40,13;41,93;43,72;39,42;2.304,21;2.362,83;2.447,79;2.512,73;2.509,89;2.563,52;1.723,37;1.785,04;1.872,95;1.931,71;1.950,57;1.982,61;22.629,15;23.422,56;23.507,26;23.143,09;24.245,50;25.402,71;26,64;27,9;28,49;29,07;28,99;30,26
05766;Lippe;Kreise;6,97;6,6;6,05;5,81;6,39;5,68;21,83;26,07;27,84;28,12;27,86;27,84;30,28;30,57;32,95;36,16;38,76;39,37;43,43;42,05;2.607,06;2.665,05;2.774,89;2.866,83;2.852,87;2.946,81;1.771,27;1.816,89;1.914,65;1.934,56;1.960,42;2.003,46;23.676,75;24.428,66;24.476,08;24.134,68;25.310,86;26.270,94;28,57;29,58;30,63;31,5;31,51;33,04
05770;Minden-Lübbecke;Kreise;5,39;5,09;4,68;4,71;5,74;5,28;19,47;23,9;24,63;24,83;25,85;27,17;33,52;34,18;37,89;41,47;43,71;43,19;47,09;45,62;2.636,59;2.684,20;2.782,44;2.867,76;2.851,22;2.945,70;1.808,50;1.839,99;1.970,49;1.960,19;1.981,34;2.013,81;23.403,85;24.235,66;24.282,44;23.893,64;25.049,12;25.855,52;39,27;40,39;41,81;43,13;42,91;44,59
05774;Paderborn;Kreise;5,72;5,59;5,1;4,98;5,85;5,26;20,94;24,44;24,03;24,72;25,59;25,54;30,5;34,29;38,1;40,41;42,14;43,04;47,83;46,91;2.549,85;2.597,06;2.695,38;2.764,50;2.758,92;2.864,01;1.691,32;1.760,82;1.820,17;1.884,44;1.903,38;1.938,81;22.693,45;23.613,15;23.787,07;23.423,25;24.565,98;25.493,31;34,61;35,59;36,11;36,94;36,32;38,33
05911;Bochum, Stadt;Kreise;10,06;9,71;8,88;8,46;9,4;9,14;27,44;29,37;29,89;31,29;33,22;34,03;36,11;30,6;32,37;34,58;35,64;36,95;40,09;41,27;2.680,89;2.746,75;2.819,67;2.953,16;2.976,98;3.049,30;1.573,75;1.618,33;1.694,12;1.730,55;1.774,45;1.816,26;22.444,44;23.110,18;23.127,59;22.782,61;23.817,11;24.640,31;31,7;32,08;33,7;34,94;35,05;37,7
05913;Dortmund, Stadt;Kreise;11,83;11,07;10,27;10,11;11,41;11,43;32,95;34,87;35,95;37,44;38,74;40,14;42,51;33,8;35,69;37,58;38,95;40,1;42,35;43,27;2.820,35;2.871,30;2.974,75;3.066,03;3.098,41;3.171,69;1.520,46;1.551,90;1.630,84;1.671,08;1.714,85;1.751,56;22.196,21;22.750,60;22.772,83;22.458,19;23.410,64;24.222,23;35,68;37,2;39,37;40,73;40,31;41,91
05914;Hagen, Stadt der FernUniversität;Kreise;11,12;10,33;9,31;10,02;11,72;11,69;37,6;38,33;38,52;40,4;42,18;43,44;46,84;39,42;41,18;41,87;42,71;41,52;44,2;44,44;2.743,32;2.807,82;2.899,10;2.984,10;2.950,87;3.059,80;1.569,42;1.607,14;1.670,81;1.665,31;1.705,00;1.738,38;22.281,39;22.826,64;22.750,54;22.403,90;23.354,50;24.106,89;32,78;34,04;34,9;34,79;33,23;35,66
05915;Hamm, Stadt;Kreise;9,44;9,18;8,7;8,11;9,07;8,54;32,35;35,13;33,84;33,44;33,74;34,53;35,93;36,84;39,29;40,3;39,75;41,55;44,79;45,41;2.465,67;2.525,14;2.616,94;2.691,14;2.714,31;2.788,57;1.444,25;1.489,05;1.556,34;1.600,18;1.646,90;1.678,16;21.151,67;21.848,46;22.105,57;21.811,05;22.806,38;23.605,15;27,61;28,44;29,23;30,37;30,46;30,84
05916;Herne, Stadt;Kreise;12,84;12,09;10,91;10,34;11,62;11,42;30,4;31,74;33,33;35,01;39,08;39,88;42;29,92;31,62;33,17;34,21;35,09;37,97;41,77;2.707,51;2.740,07;2.860,37;2.845,55;2.831,99;2.872,50;1.407,12;1.451,87;1.497,80;1.535,06;1.574,97;1.605,23;20.850,81;21.575,82;21.811,87;21.507,82;22.459,73;23.199,11;21,83;22,56;24,8;26,41;26,98;27,77
05954;Ennepe-Ruhr-Kreis;Kreise;6,66;6,42;5,81;5,53;6,62;6,65;22,23;27,31;28,06;28,98;29,84;29,19;33,69;37,14;38,37;40,46;41,38;40,82;44,35;43,29;2.703,37;2.770,14;2.846,93;2.926,87;2.873,92;2.962,69;1.909,02;1.953,90;2.030,94;2.053,60;2.088,15;2.140,09;24.750,60;25.468,33;25.527,32;25.078,03;26.151,12;26.997,46;29,29;29,96;30,54;31,17;30,6;31,7
05958;Hochsauerlandkreis;Kreise;4,72;4,52;4,06;3,97;4,57;4,17;22,76;26,12;25,05;24,74;24,71;25,27;31,58;40,6;43,07;45,94;46,49;47,2;49,75;47,32;2.493,80;2.563,75;2.656,79;2.725,57;2.717,01;2.804,93;1.905,96;1.970,96;2.065,55;2.096,62;2.113,53;2.155,56;23.576,15;24.317,49;24.386,49;24.017,48;25.151,87;26.205,55;34,32;35,99;36,96;38,53;37,59;39,76
05962;Märkischer Kreis;Kreise;6,65;6,52;5,91;6,2;7,58;6,89;26,59;29,23;29,8;30,92;31,94;32,17;33,46;44,49;46,29;47,22;46,19;43,94;47,56;47,03;2.804,19;2.847,78;2.949,19;2.995,96;2.951,09;3.054,52;1.942,73;1.983,52;2.045,49;2.033,98;2.063,04;2.112,82;24.178,77;24.771,79;24.709,94;24.243,16;25.395,90;26.328,25;35,23;36,66;37,08;37,25;36,08;38,71
05966;Olpe;Kreise;4,19;4;3,4;3,31;4,25;3,86;25,6;28,61;27,78;28,1;27,62;25,84;32,55;45,63;49,05;50,81;52,17;50,19;54,97;51,97;2.652,79;2.710,36;2.806,56;2.871,32;2.829,08;2.938,41;2.211,77;2.411,86;2.180,29;2.230,10;2.246,42;2.296,17;24.846,65;25.808,57;25.923,30;25.483,10;26.721,85;27.690,37;38,29;39,94;41,16;41,46;40,09;43,97
05970;Siegen-Wittgenstein;Kreise;5,35;5,11;4,58;4,55;5,56;5,41;23,84;27,41;26,59;27,98;29,85;30,58;34,23;37,97;39,82;41,85;44,21;45,38;48,07;48,17;2.818,94;2.860,82;2.972,72;3.031,92;2.992,09;3.076,36;1.821,86;1.922,02;2.001,19;2.023,79;2.055,77;2.110,40;24.001,99;24.652,25;24.684,62;24.246,82;25.314,26;26.177,78;38,33;39,72;40,81;41,27;39,23;40,84
05974;Soest;Kreise;5,97;5,76;5,13;4,99;5,86;5,47;21,37;23,39;22,7;23,63;23,97;24,51;28,75;36,13;38,24;39,82;41,65;42,17;43,96;43,02;2.571,84;2.635,26;2.726,09;2.806,37;2.801,54;2.895,64;1.774,72;1.829,66;1.930,95;1.968,38;1.996,80;2.029,26;23.148,41;24.173,38;24.267,63;23.903,66;25.026,98;26.233,37;33,48;34,8;35,97;37,23;36,65;39,36
05978;Unna;Kreise;8,4;7,93;7,12;6,77;7,57;7,43;21,79;23,56;24,36;25,3;27,14;27,61;31,36;37,43;39,2;39,72;41,73;43,29;46,16;44,05;2.551,24;2.591,53;2.689,95;2.752,68;2.775,96;2.843,66;1.684,42;1.732,63;1.803,21;1.829,45;1.873,90;1.916,52;22.477,75;23.375,67;23.432,80;23.108,92;24.105,00;25.218,45;29,18;30,18;31,24;31,33;30,85;33,32
06411;Darmstadt, Wissenschaftsstadt;Kreise;6,08;5,89;5,19;5,03;6,17;5,82;36,26;39,09;41,32;42,26;43,58;43,84;46,12;44,36;46,7;49,44;50,05;49,83;50,32;49,79;3.448,28;3.581,77;3.719,34;3.823,65;3.860,84;4.005,91;1.812,10;1.911,89;1.947,83;1.950,10;1.977,93;2.010,03;25.442,99;25.995,55;25.788,07;25.288,64;26.457,08;27.104,86;75,16;78,83;78,26;82,19;84,08;88,37
06412;Frankfurt am Main, Stadt;Kreise;6,35;5,91;5,36;4,99;6,7;6,62;46,04;47,2;47,36;48,01;50,53;51,14;52,95;46,76;48,31;51,05;52,97;53,41;55,41;55,58;3.847,71;3.951,84;4.077,85;4.190,87;4.151,98;4.300,08;1.855,57;1.879,69;1.970,47;2.003,62;2.042,26;2.112,71;26.499,84;27.138,13;27.054,74;26.540,29;27.722,18;28.435,30;92,19;92,47;94,51;96,83;94,09;97,58
06413;Offenbach am Main, Stadt;Kreise;10,27;9,68;9,22;8,55;9,98;9,6;54,75;56,13;55,79;54,82;55,7;56,04;57,04;53,84;55,81;57,27;59,81;58,76;59,77;60,09;3.171,46;3.169,44;3.263,21;3.320,95;3.245,99;3.376,37;1.498,30;1.543,14;1.602,04;1.639,42;1.652,70;1.689,26;22.017,78;22.515,99;22.423,59;22.010,62;22.971,53;23.559,10;36,86;36,52;36,92;37,25;36,17;38,27
06414;Wiesbaden, Landeshauptstadt;Kreise;7,48;7,36;6,97;6,34;7,34;7,72;37,24;39,54;41,03;41,41;41,98;42,16;45,04;47,66;49,9;52,06;54,6;54,93;56,14;55,92;3.345,15;3.380,68;3.422,32;3.548,88;3.591,11;3.686,59;1.984,69;2.014,03;2.053,10;2.093,81;2.114,39;2.159,97;26.109,27;26.670,55;26.610,31;26.092,55;27.169,47;27.941,24;60,86;63,16;63,06;65,82;65,21;68,51
06431;Bergstraße;Kreise;3,77;3,8;3,68;3,46;4,1;3,74;28,15;30,82;34,96;36,05;34,77;35,47;42,48;43,26;45,62;48,62;51,76;52,38;55,06;53,1;2.708,36;2.775,27;2.881,71;2.946,38;2.941,89;3.047,72;1.939,27;2.003,52;2.072,17;2.101,70;2.118,14;2.167,53;24.822,38;25.316,61;25.358,62;24.894,73;26.078,19;27.017,75;27,46;27,81;28,91;29,59;29,22;31,03
06432;Darmstadt-Dieburg;Kreise;4,47;4,74;4,46;4,32;4,98;4,6;30,87;36,51;38,08;38,29;37,87;38,25;44,18;45,75;47,99;50,15;52,77;54,09;55,51;53,11;2.784,79;2.816,90;2.892,36;2.957,51;2.928,72;3.048,81;1.952,09;1.995,87;2.061,71;2.118,98;2.138,92;2.197,70;24.911,61;25.533,35;25.531,41;25.062,08;26.266,62;27.246,47;26,76;27,72;28,62;29,4;29,18;31,52
06433;Groß-Gerau;Kreise;6,28;5,4;4,77;4,69;5,88;5,59;45,43;46,61;46,35;47,01;46,88;46,87;48,88;47,9;49,85;51,98;54,73;54,42;55,65;55,27;3.344,52;3.402,92;3.467,78;3.522,26;3.419,53;3.500,16;1.729,55;1.819,69;1.859,45;1.865,71;1.895,45;1.941,35;23.658,49;23.968,92;23.964,26;23.479,69;24.563,08;25.119,36;43,85;45,41;45,55;46,2;42,22;45,96
06434;Hochtaunuskreis;Kreise;3,62;3,64;3,4;3,42;4,55;4,56;35,24;39,74;39,54;40,7;41,64;42,38;44,04;44,39;45,68;48,06;50,29;51,22;52,68;51,73;3.475,86;3.610,49;3.754,57;3.865,44;3.801,18;3.923,68;2.737,39;2.628,33;2.720,13;2.700,80;2.712,49;2.798,65;33.534,23;34.191,95;34.111,17;33.364,85;34.723,93;35.163,46;45,01;48,34;49,29;49,3;47,22;48,56
06435;Main-Kinzig-Kreis;Kreise;4,66;4,56;4,22;4,1;5,28;4,9;32;36,22;38,83;39,71;38,2;39,53;44,33;43,45;46,03;49,94;51,92;51,5;52,95;51,17;2.833,22;2.903,32;2.985,43;3.066,93;3.044,10;3.155,46;1.920,69;1.979,53;2.058,56;2.077,89;2.090,03;2.127,20;23.888,74;24.426,05;24.407,72;23.909,83;25.046,73;25.911,13;33,18;34,35;36,64;37,08;36,94;38,75
06436;Main-Taunus-Kreis;Kreise;3,86;3,67;3,37;3,29;4,33;4,38;37,61;40,82;39,29;39,31;39,13;39,74;48,09;48,25;50,44;52,96;54,97;55,47;57,1;56,17;3.510,89;3.614,74;3.731,44;3.849,10;3.882,15;4.000,87;2.230,82;2.296,64;2.352,82;2.403,96;2.421,37;2.484,82;29.899,35;30.210,94;30.138,68;29.471,06;30.764,14;31.324,24;53,33;54,24;54,81;57,79;55,45;59,62
06437;Odenwaldkreis;Kreise;5,24;5,03;4,38;4,35;4,88;4,6;31,33;32,16;34,65;36,05;36,26;37,04;41,53;47,23;46,5;51,43;52,56;51,15;52,87;53,56;2.546,98;2.594,32;2.626,00;2.663,22;2.662,08;2.760,82;1.763,00;1.788,77;1.858,09;1.894,76;1.914,03;1.952,61;22.206,66;20.715,32;23.151,59;22.756,50;23.825,78;24.838,20;26,16;25,3;26,37;27,02;25,33;27,16
06438;Offenbach;Kreise;4,82;4,47;4,18;3,95;5,35;5,23;40,32;42,53;43,11;43,53;42,5;43,88;49,29;48,05;51,04;53,41;55,11;54,81;55,69;55,62;3.187,62;3.249,54;3.359,04;3.416,83;3.375,32;3.475,18;1.953,66;2.007,49;2.066,38;2.088,78;2.107,25;2.152,98;26.327,55;26.604,55;26.649,93;26.066,90;27.239,90;27.839,03;40,25;41,82;41,06;41,03;39,61;42,7
06439;Rheingau-Taunus-Kreis;Kreise;4,41;4,62;4,1;3,88;4,52;4,38;28,94;34,62;35,88;36,89;38,16;37,19;41,27;40,06;41,83;45,02;47,64;48,17;51,49;48,43;2.681,08;2.742,50;2.817,49;2.893,89;2.865,46;2.990,39;2.035,10;2.077,16;2.169,45;2.205,08;2.216,68;2.271,56;26.187,37;26.888,06;26.917,16;26.414,89;27.566,81;28.716,67;23,4;25,18;25,15;26,19;25,63;26,22
06440;Wetteraukreis;Kreise;4,64;4,26;3,91;3,83;4,55;4,29;26,57;28,77;28,85;30,13;31,77;31,91;35,26;40,79;42,68;45,95;49,18;49,97;51,85;49,46;2.847,91;2.892,58;2.981,19;3.057,55;3.048,71;3.146,09;1.930,02;1.972,37;2.064,19;2.089,92;2.092,96;2.137,37;24.858,66;25.650,38;25.641,13;25.178,84;26.357,15;27.280,18;27,86;29,15;29,4;30,41;29,5;30,64
06531;Gießen;Kreise;6,38;5,8;5,22;5,28;5,93;5,62;22,94;26,3;28;30,02;31,96;33,34;37,08;30,55;32,29;35,22;37,72;37,7;40,36;39,54;2.789,20;2.841,21;2.931,19;3.001,41;3.017,20;3.112,13;1.677,28;1.722,05;1.760,11;1.794,72;1.808,43;1.842,16;20.976,00;23.005,29;22.991,27;22.608,63;23.651,38;24.445,51;34,62;35,36;36,37;37,26;37,55;39,09
06532;Lahn-Dill-Kreis;Kreise;5,51;5,39;5,07;4,78;5,54;5,06;25,75;29,54;32,87;33,27;32,54;33,15;38,78;36,87;37,93;42,12;44,7;44,04;46,06;43,3;2.870,07;2.899,36;3.029,10;3.095,46;3.070,12;3.165,91;1.854,15;1.915,36;1.909,45;1.942,95;1.957,38;2.000,64;22.905,22;23.630,26;23.698,24;23.269,31;24.358,48;25.508,34;32,58;33,29;34,57;35,69;33,97;35,8
06533;Limburg-Weilburg;Kreise;4,81;4,46;4,19;4,01;4,76;4,52;25,96;27,65;30,04;31,65;32,52;32,97;37,83;35,71;38,04;42,02;45,78;46,18;48,46;46,12;2.748,42;2.790,56;2.874,85;2.922,60;2.937,33;3.025,14;1.783,21;1.840,73;1.925,42;1.959,44;1.976,90;2.012,44;23.175,14;23.989,33;24.039,80;23.562,48;24.653,70;25.901,86;28,34;29,66;30,87;31,96;31,42;32,86
06534;Marburg-Biedenkopf;Kreise;3,96;3,77;3,71;3,73;4,34;3,96;25,89;26,19;30,35;31,51;29,79;29,42;35,97;35,72;37,43;40,08;42,33;42,8;45,58;44,16;2.823,53;2.881,25;2.955,40;3.032,90;3.049,78;3.130,40;1.697,82;1.735,00;1.795,97;1.837,16;1.863,14;1.891,98;21.933,47;22.609,48;22.597,03;22.183,68;23.237,58;24.040,83;34,67;37,57;38,17;39,68;39,24;42,51
06535;Vogelsbergkreis;Kreise;4,22;4,14;3,69;3,67;4,01;3,69;13,33;21,02;19,93;21,89;21;18,69;29,31;32,03;34,08;40,72;45,34;47,94;49,33;46,26;2.566,58;2.582,45;2.641,64;2.704,15;2.703,28;2.793,24;1.722,49;1.763,16;1.842,34;1.890,25;1.912,61;1.949,47;21.863,92;22.885,47;22.832,96;22.501,60;23.533,64;24.640,99;26,18;27,04;27,21;28,05;28,3;29,94
06611;Kassel, documenta-Stadt;Kreise;9,15;8,19;7,36;7,27;8,35;8,07;31,13;36,73;38,28;39,73;40,61;41;44,58;35,59;36,81;39,33;42,13;43,3;47,56;46,15;2.898,67;2.982,11;3.091,92;3.190,01;3.200,26;3.283,79;1.573,72;1.601,27;1.645,93;1.694,77;1.731,90;1.784,68;21.296,84;22.159,22;22.340,80;21.967,17;22.935,07;23.634,83;48,89;50,98;52,51;54,08;51,59;54,97
06631;Fulda;Kreise;3,14;2,9;2,79;2,69;3,38;3,09;20,17;24,47;28,74;29,91;29,12;28,31;36,33;39,4;42,95;46,13;49,27;51,38;52,81;51,42;2.782,91;2.863,84;2.967,05;3.035,39;3.016,79;3.111,86;1.783,33;1.866,17;1.955,42;1.958,20;1.968,27;2.003,99;22.492,26;23.281,49;23.352,61;22.955,40;24.089,17;25.009,17;35,62;37,5;37,81;38,64;37,63;39,82
06632;Hersfeld-Rotenburg;Kreise;4,34;4,42;3,99;3,63;3,99;3,66;21,12;28,74;28,69;26,67;24,59;24,6;32,3;37,09;41,14;44,27;47,42;51,08;54,92;53,88;2.923,99;2.982,75;3.075,44;3.143,48;3.131,68;3.254,27;1.713,09;1.779,26;1.827,96;1.872,02;1.897,19;1.935,33;21.688,84;22.410,32;22.503,12;22.154,89;23.194,99;24.197,95;34,29;36,08;36,51;38,95;36,86;40,41
06633;Kassel;Kreise;4,34;4,16;3,78;3,57;4,35;3,9;15,54;21,02;21,35;22,47;23,65;23,92;33,33;31,85;35,41;39,81;43,21;43,46;47,15;42,39;3.099,75;3.152,86;3.252,53;3.335,87;3.213,50;3.328,02;1.801,41;1.838,37;1.914,93;1.956,03;1.972,94;2.011,97;23.005,67;23.913,79;23.979,11;23.074,93;24.694,88;25.732,12;32,19;30,11;30,38;31,06;28,65;29,45
06634;Schwalm-Eder-Kreis;Kreise;4,7;4,3;3,42;3,23;3,96;3,71;15,6;20,53;17,92;18,5;21,82;23,24;32,01;32,31;34,99;40,71;44,94;45,4;49,59;44,81;2.840,81;2.892,08;2.839,90;2.920,87;2.940,08;3.049,62;1.745,83;1.780,25;1.857,18;1.907,76;1.916,14;1.952,04;21.863,98;22.836,50;22.914,33;22.508,65;23.546,21;24.611,89;29,94;30,41;29,77;32,42;31,97;33,91
06635;Waldeck-Frankenberg;Kreise;4,32;3,94;3,49;3,41;4,05;3,68;17,23;21,12;22,49;22,22;23,78;23,65;31,95;34,22;38,29;42,52;47,4;47,3;49,47;46,2;2.723,93;2.788,02;2.842,87;2.898,44;2.892,84;3.021,68;1.751,01;1.839,54;1.878,75;1.930,36;1.937,16;1.973,81;21.768,35;22.718,04;22.787,88;22.370,27;23.448,84;24.589,60;35,66;36,73;37,35;38,78;38,14;40,87
06636;Werra-Meißner-Kreis;Kreise;5,94;5,58;4,8;4,73;5,55;5,31;11,88;15,89;17,07;20,12;19,94;19,57;24;26,17;29,22;32,55;34,62;36,51;40,39;40,14;2.464,12;2.521,53;2.612,29;2.661,26;2.667,35;2.725,69;1.665,81;1.674,36;1.736,64;1.780,04;1.812,96;1.853,49;21.328,59;22.287,80;22.252,96;21.862,61;22.855,79;24.024,19;23,99;24,69;25,2;25,93;25,48;26,69
07111;Koblenz, kreisfreie Stadt;Kreise;6,49;6,12;5,77;5,53;6,64;6,37;24,82;28,13;30,99;33,38;33,92;35,47;36,91;38,86;39,95;43,05;46,5;47,79;49,88;51,12;2.899,75;2.954,21;2.987,39;3.084,32;3.129,06;3.253,84;1.734,68;1.754,36;1.798,59;1.802,30;1.860,68;1.883,70;23.836,06;24.302,61;24.315,73;23.910,43;24.982,10;25.707,30;64,87;67,75;68,33;71,42;70,53;76,81
07131;Ahrweiler;Kreise;3,91;3,79;3,54;3,45;4,16;4,19;23,21;27,44;27,76;30,98;29,99;32,51;32,76;41,68;44,61;47,59;51,41;51,2;55,81;56,59;2.333,76;2.387,27;2.454,36;2.526,68;2.556,32;2.662,85;1.877,68;1.921,80;2.015,88;2.005,69;2.044,14;2.107,37;23.367,68;23.949,93;24.026,66;23.665,50;24.727,20;25.736,71;24,5;25,29;26,42;26,98;26,9;28,85
07132;Altenkirchen (Westerwald);Kreise;4,97;4,73;4,35;4,25;5,38;5;13,33;15,98;16,78;18,25;19,07;19,32;23,82;37,55;40,99;45,51;48,06;46,17;49,35;45,73;2.361,62;2.407,24;2.515,57;2.606,84;2.578,44;2.677,26;1.722,94;1.778,86;1.874,39;1.884,40;1.920,50;1.951,46;21.627,76;22.343,47;22.449,63;22.109,85;22.877,21;24.229,69;25,65;26,43;27,3;27,8;27,35;28,78
07133;Bad Kreuznach;Kreise;6,58;6,24;5,75;5,46;6,35;6,1;21,16;24,09;25,35;25,87;27,26;27,72;30,99;43,23;44,23;47,11;49,62;50,42;52,36;51,14;2.486,79;2.552,43;2.604,16;2.673,93;2.667,10;2.714,47;1.762,37;1.797,03;1.856,39;1.879,63;1.928,84;1.959,20;22.930,05;23.627,10;23.748,98;23.433,03;24.461,84;25.651,68;28,52;29,6;29,71;30,23;29,74;31,72
07134;Birkenfeld;Kreise;6,28;6;5,57;5,61;6,57;5,94;13,2;15,75;15,95;18,41;20,63;20,07;24,79;30,03;32,71;34,62;36,4;37,49;40,06;40,65;2.333,05;2.389,68;2.436,53;2.520,83;2.517,66;2.585,34;1.726,56;1.755,97;1.861,63;1.843,98;1.887,47;1.875,65;21.754,53;22.539,20;22.603,66;22.272,02;23.299,52;24.431,04;27,62;28,67;29,37;30,17;29,42;30,44
07135;Cochem-Zell;Kreise;3,76;3,56;3,1;3,05;3,95;3,81;15,14;17,51;19,08;20,73;22,67;21,81;30,94;44,91;47,55;51,88;55,73;52,82;56,52;52,31;2.214,67;2.285,02;2.335,97;2.399,35;2.449,67;2.507,15;1.780,30;1.836,31;1.908,39;1.926,35;1.953,33;1.982,56;22.291,64;22.832,97;22.925,02;22.618,06;23.603,23;24.791,35;28,01;29,34;30,79;32,57;32,6;34,01
07137;Mayen-Koblenz;Kreise;3,9;3,5;3,36;3,14;3,61;3,37;16,44;19,59;22,12;23,48;24,06;23,77;27,89;38,17;40,63;44,98;47,92;48,11;50,6;49,51;2.427,02;2.557,39;2.626,56;2.702,48;2.706,14;2.793,73;1.776,76;1.817,85;1.900,09;1.915,21;1.957,00;1.988,89;23.592,17;24.180,43;24.322,77;24.007,50;25.085,95;26.023,74;30,06;30,79;31,07;31,97;32,07;32,58
07138;Neuwied;Kreise;5,73;5,34;4,83;4,57;5,45;5,11;22,93;26,07;27,43;28,87;27,3;28,36;33,52;37,69;40,52;43,52;47,67;48,21;49,92;48,06;2.534,60;2.607,06;2.642,35;2.756,18;2.769,68;2.844,82;1.842,08;1.892,87;1.948,49;1.968,50;2.003,47;2.018,00;23.033,84;23.670,62;23.777,59;23.428,70;24.488,10;25.617,92;29,47;31,94;32,96;33,95;32,7;34,49
07140;Rhein-Hunsrück-Kreis;Kreise;4,15;3,75;3,49;3,21;4,16;3,79;15,96;19,01;19,12;18,83;21,35;22,91;32,3;44,52;53,35;58,34;61,59;55,89;57,24;59,06;2.442,21;2.524,68;2.616,14;2.691,35;2.707,45;2.795,19;1.894,43;1.908,38;2.011,94;2.033,43;2.062,89;2.092,56;22.721,31;23.654,66;23.839,33;23.513,19;24.553,63;25.708,40;32,18;34,55;36,15;36,61;36,77;38,19
