Kennziffer;Raumeinheit;Aggregat;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen
;;;2016Krankenhausversorgung;2017Krankenhausversorgung;2018Krankenhausversorgung;2019Krankenhausversorgung;2020Krankenhausversorgung;2021Krankenhausversorgung;2016;2017;2018;2019;2020;2016;2017;2018
04012;Bremerhaven, Stadt;Kreise;9,34;8,94;8,87;8,73;8,19;8,39;20,62;20,61;19,6;19,48;21,41;44,51;45,66;46,66
05111;Düsseldorf, Stadt;Kreise;8,32;8,13;7,83;8,06;7,68;7,3;30,83;33,18;34,68;37,42;39,33;43,02;41,52;36,55
05112;Duisburg, Stadt;Kreise;9,26;9,3;9,03;9,22;8,9;8,81;15,87;16,11;16,66;16,85;17,96;47,18;47,71;47,01
05113;Essen, Stadt;Kreise;9,67;9,74;9,58;9,6;8,32;8,54;24,14;26,23;26,35;27,63;29,65;36,27;36,82;38,25
05114;Krefeld, Stadt;Kreise;9,22;9,17;8,95;9,31;8,95;8,85;22,96;23,54;24,24;26,2;27,55;42,76;43,44;42,45
05116;Mönchengladbach, Stadt;Kreise;8,18;8,13;8,4;8,42;7,91;7,63;17,17;16,34;17,32;18,02;19,28;36,3;34,15;33,61
05117;Mülheim an der Ruhr, Stadt;Kreise;5,28;5,44;5,13;5,6;5,05;4,52;24,88;26,5;27,97;30,14;32,12;30,17;26,32;30,32
05119;Oberhausen, Stadt;Kreise;6,97;6,89;6,57;6,96;5,99;5,8;18,24;19,49;20,57;21,65;22,08;33,33;34,22;33,66
05120;Remscheid, Stadt;Kreise;9,22;9,22;9,05;9,2;8,85;9,03;23,03;23,91;23,74;25,02;23,76;45,67;43,89;46,45
05122;Solingen, Klingenstadt;Kreise;6,61;6,59;5,85;6,44;5,7;5,69;24,98;26,88;27,13;28,06;28,83;36,06;36,23;39,74
05124;Wuppertal, Stadt;Kreise;5,73;5,85;5,87;5,84;5,92;5,99;16,73;17,36;18,16;19,84;20,41;41,22;41,87;42,18
05154;Kleve;Kreise;5,78;5,43;5,66;5,64;5,27;5,35;21,47;23,59;24,71;29,36;29,38;22,5;4,18;21,17
05158;Mettmann;Kreise;4,65;4,61;4,61;4,44;4,61;4,58;26,08;26,87;29,11;31,02;31,28;32,46;16,93;32,15
05162;Rhein-Kreis Neuss;Kreise;4,58;4,41;4,4;4,97;4,52;4,51;26,08;28,25;29,05;30,49;31,62;29,96;31,76;30,9
05166;Viersen;Kreise;4,81;4,73;5,29;5,23;4,76;4,5;24,93;26,52;28,17;29,54;30,09;22,11;43,44;22,21
05170;Wesel;Kreise;5,44;5,51;6,01;5,51;5,97;6,06;20,45;21,82;23,79;25,61;26,49;23,7;15,71;23,34
05314;Bonn, Stadt;Kreise;12,78;12,75;13,82;13,95;12,79;12,68;30,81;32,4;33,55;34,92;34,33;40,88;42,41;40,67
05315;Köln, Stadt;Kreise;6,65;6,56;6,56;6,48;6,4;6,45;28,04;29,72;30,94;32,26;34,18;42,3;42,75;42,22
05316;Leverkusen, Stadt;Kreise;6,63;6,64;6,11;6,7;5,91;5,58;24,56;24,97;25,84;26,37;25,86;40,32;38,9;40,58
05334;Städteregion Aachen;Kreise;7,31;6,93;6,82;7,01;6,87;6,54;27,27;28,59;30,05;32,41;33,06;32,88;32,58;32,26
05358;Düren;Kreise;6,83;6,78;7,32;7,26;6,83;6,78;22,27;23,79;24,72;27,84;27,63;23,59;24,68;22,68
05362;Rhein-Erft-Kreis;Kreise;3,08;3,07;3;3,09;2,93;2,82;25,42;27,62;27,8;28,14;29,94;30,74;30,72;28,76
05366;Euskirchen;Kreise;5,55;5,73;5,88;5,8;6,25;6,27;20,63;21,88;22,62;22,72;25,57;24,38;21,88;21,2
05370;Heinsberg;Kreise;4,06;3,76;3,79;3,8;3,8;3,77;20,93;21,97;22,51;24,21;25,85;25,87;23,51;23,92
05374;Oberbergischer Kreis;Kreise;5,55;5,71;5,9;5,89;5,58;5,5;18,16;19,16;22,14;22,28;22,75;28,34;25,39;26,67
05378;Rheinisch-Bergischer Kreis;Kreise;4,16;4,06;4,12;4,13;4,12;4,18;28,54;29,1;30,63;31,85;33,09;24,71;25,62;24,49
05382;Rhein-Sieg-Kreis;Kreise;2,43;2,43;2,1;2,08;2,08;2,15;24,9;26,72;27,66;29,62;29,81;27,34;27,95;27,99
05512;Bottrop, Stadt;Kreise;6;6;5,83;6,24;6,06;5,98;19,41;21,78;22,83;23,58;23,03;31,06;28,25;30,57
05513;Gelsenkirchen, Stadt;Kreise;6,76;6,82;6,92;7,26;8,83;8,7;18,62;19,66;18,66;17,79;18,11;50,8;51,62;51,18
05515;Münster, Stadt;Kreise;11,99;11,9;11,94;11,89;11,68;11,5;34,07;33,62;36,01;36,83;39,17;29,53;28,58;28,42
05554;Borken;Kreise;5,08;5,07;5,43;5,46;5,25;5,07;26,36;27,09;30,55;31,86;33,56;16,63;16,86;17,42
05558;Coesfeld;Kreise;3,91;3,9;4,16;4,05;3,78;4,27;30,07;33,97;35,86;39,21;38,93;9,56;7,35;10,94
05562;Recklinghausen;Kreise;7,98;7,92;7,36;7,64;6,53;6,51;22,96;23,58;24,1;25,42;26,55;26,9;26,98;25,17
05566;Steinfurt;Kreise;4,71;4,55;4,75;4,75;4,58;4,45;28,94;30,47;32,02;36,12;37,4;22,15;22,21;22,3
05570;Warendorf;Kreise;4,84;4,85;4,94;5,06;4,68;4,63;25,53;28,53;29,63;30,54;32,83;23,77;24,13;23,36
05711;Bielefeld, Stadt;Kreise;11,92;11,95;9,74;11,09;9,71;9,82;27,17;27,87;27,98;29,28;28,83;47,42;44,14;43,79
05754;Gütersloh;Kreise;3,93;3,91;3,65;3,67;3,63;3,62;24,16;24,5;25,84;28,15;27,98;33,67;34,36;33
05758;Herford;Kreise;4,35;4,34;4,56;4,56;4,13;4,42;25,29;27,37;28,61;29,35;29,99;34,78;33,5;33,31
05762;Höxter;Kreise;7,51;7,47;7,29;7,35;7,53;7,43;21,05;22,68;22,33;23,47;26,48;16,28;19,37;17,77
05766;Lippe;Kreise;4,66;4,02;4,07;4,05;4;4,01;24,59;25,36;26,22;27,07;27,97;33;32,73;34,07
05770;Minden-Lübbecke;Kreise;7,56;7,63;7,4;7,47;7,16;7,16;21,91;23,75;24,41;25,93;26,86;32,34;32,6;31,47
05774;Paderborn;Kreise;5,79;5,72;6,03;6;5,73;5,75;25,51;27,98;30,1;30,84;31,63;31,45;26,56;26,56
05911;Bochum, Stadt;Kreise;9,66;9,31;8,88;9,04;9,53;9,48;24,59;27,3;27,65;29,22;30,19;29,22;26,69;25,13
05913;Dortmund, Stadt;Kreise;6,68;6,68;6,73;6,52;6,75;6,68;25,95;27,12;27,59;28,98;30,85;42,26;35,5;34,79
05914;Hagen, Stadt der FernUniversität;Kreise;8,98;8,46;7,84;8,59;8;8,17;17,75;19,81;19,31;20,55;19,9;43,1;42,09;41,96
05915;Hamm, Stadt;Kreise;9,93;9,98;9,78;9,83;9,75;9,73;21,8;23,04;23,96;26;28,19;33,46;29,97;29,67
05916;Herne, Stadt;Kreise;10,3;10,58;10,44;10,69;10,32;10,3;20,52;21,24;22,03;22,41;22,78;41,59;43,2;38,48
05954;Ennepe-Ruhr-Kreis;Kreise;5,84;5,87;5,76;5,85;4,87;5,09;23,51;25,35;24,17;27,35;29,61;26,12;26,54;25,28
05958;Hochsauerlandkreis;Kreise;8;7,98;8,21;8,01;8,11;8,28;25,04;25,2;28,21;30,84;32,65;18,24;16,61;17,78
05962;Märkischer Kreis;Kreise;6,92;6,89;6,78;6,96;6,53;6,42;19,86;21,27;22,2;23,89;23,78;38,46;37,65;37,38
05966;Olpe;Kreise;6,25;6,26;6,31;6,32;6,42;6,42;22,11;23,02;24,17;26,07;29,24;25,86;25,17;24,08
05970;Siegen-Wittgenstein;Kreise;7,61;7,15;7,89;7,89;7,97;7,6;23,12;23,71;24,79;26,11;27,67;26,53;27,09;25,46
05974;Soest;Kreise;6,81;6,72;6,94;6,95;6,82;6,81;26,07;27,73;28,65;30,37;32,01;25,53;23,72;23,72
