Kennziffer;Raumeinheit;Aggregat;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen
;;;2016Krankenhausversorgung;2017Krankenhausversorgung;2018Krankenhausversorgung;2019Krankenhausversorgung;2020Krankenhausversorgung;2021Krankenhausversorgung;2016;2017;2018;2019;2020;2016;2017;2018
14511;Chemnitz, Stadt;Kreise;9,43;9,53;9,38;9,6;9,17;10,06;44,63;44,38;45,46;47,34;48,94;9,98;11,15;11,64
14521;Erzgebirgskreis;Kreise;6,01;6,06;6,19;6,26;6,88;6,11;44,66;47,53;48,45;50,73;50,82;3,75;4,18;4,43
14522;Mittelsachsen;Kreise;4,33;4,31;4,25;4,47;3,2;4,3;51,84;51,42;54,38;56,58;56,77;4,47;5;5,26
14523;Vogtlandkreis;Kreise;7,44;7,48;7,62;7,69;7,74;7,81;45,02;46,78;50,36;51,4;51,69;6,02;6,7;6,82
14524;Zwickau;Kreise;6,23;6,28;6,39;6,51;6,46;6,45;49,84;51,14;50,1;52,01;54,32;5,7;6,16;7,25
14612;Dresden, Stadt;Kreise;6,98;7,01;7,13;7,2;6,69;6,48;53,15;53,43;54,08;56,21;56,87;11,11;12,09;12,94
14625;Bautzen;Kreise;5,65;5,62;5,55;5,54;5,58;5,5;51,78;53,9;56,82;59,29;57,83;4,13;3,72;3,91
14626;Görlitz;Kreise;7,04;7,09;6,92;7,23;6,78;6,57;47,15;49,91;49,71;53,44;53,91;7,23;7,31;7,58
14627;Meißen;Kreise;4,94;4,95;5,08;5,02;4,98;4,91;52,39;53,75;53,91;56,57;56,31;4,33;4,6;5,1
14628;Sächsische Schweiz-Osterzgebirge;Kreise;5,23;5,2;4,71;5,21;4,85;4,52;51,05;50,87;52,05;55,02;58,18;5,77;4,56;5,29
14713;Leipzig, Stadt;Kreise;7,05;6,83;6,71;6,74;6,45;6,4;45,25;46,28;47,3;50,41;52,32;13,09;13,91;14,28
14729;Leipzig;Kreise;4,4;4,41;4,4;4,38;4,38;4,48;55,05;55,66;56,63;58,85;58,41;3,91;4,68;4,9
14730;Nordsachsen;Kreise;7,22;7,22;7,34;7,66;7,38;7,3;53,23;55,81;55,48;56,2;57,37;5,07;5,98;6,19
15001;Dessau-Roßlau, Stadt;Kreise;11,42;11,61;11,52;11,6;11,93;11,33;52,48;50,26;54,74;59,3;63,06;7,7;9,26;10,88
15002;Halle (Saale), Stadt;Kreise;12,43;12,37;11,8;11,92;11,96;11,9;49,56;50,9;47,99;50,05;51,07;13,43;15,69;17,92
15003;Magdeburg, Landeshauptstadt;Kreise;9,85;9,9;9,81;10,01;9,84;9,34;51,6;52,41;53,42;59,18;60,5;10,59;11,41;13,52
15081;Altmarkkreis Salzwedel;Kreise;5,04;4,96;4,62;5,17;4,39;4,45;56,08;55,98;59,38;59,73;59,6;4,75;5,74;5,07
15082;Anhalt-Bitterfeld;Kreise;5,33;4,92;4,85;4,92;4,95;5;56,16;57,49;57,89;59,9;62,91;4,3;4,31;5,37
15083;Börde;Kreise;3,57;3,43;3,32;3,35;3,35;3,16;59,72;59,3;64,24;65,47;62,37;3,33;3,78;3,84
15084;Burgenlandkreis;Kreise;5,99;6,17;5,51;5,53;5,7;5,47;56,98;59,05;60,81;61,69;61,12;6,31;6,59;7,15
15085;Harz;Kreise;7,19;6,99;6,51;6,84;6,51;6,21;57,11;59,15;59,78;59,75;62,89;3,62;4,47;4,87
15086;Jerichower Land;Kreise;8,3;8,27;8,31;8,35;8,12;8,15;58,76;60,05;61,84;62,4;63,69;3,82;4,71;4,47
15087;Mansfeld-Südharz;Kreise;5,37;5,61;5,58;5,63;5,83;6,08;59,28;58,58;59,02;62,19;61,13;5,56;6,28;7,1
15088;Saalekreis;Kreise;3,41;3,42;3,41;3,45;3,34;3,24;56,56;57,17;59,23;62,78;61,66;4,06;4,59;4,84
15089;Salzlandkreis;Kreise;6,71;6,81;6,48;6,72;6,67;6,27;60,09;61,9;62,94;64,27;63,32;5,62;6,13;7,27
15090;Stendal;Kreise;8,86;8,84;8,01;8,57;7,87;7,56;54,17;54,22;56,88;58,89;57,5;4,87;5,26;5,73
15091;Wittenberg;Kreise;4,64;4,53;4,48;4,63;4,56;4,59;60,15;62,62;60,97;62,92;63,99;4,21;5,26;6,09
16051;Erfurt, Stadt;Kreise;7,92;7,93;7,93;7,74;7,93;7,91;48,98;47,29;47,76;48,64;50,01;12,74;12,58;13,68
16052;Gera, Stadt;Kreise;10,21;10,25;10,39;10,44;10,54;10,58;53,88;50,25;51,99;53,59;53,93;9,6;11,47;14,14
16053;Jena, Stadt;Kreise;13,07;12,63;12,49;12,57;12,44;12,62;54,22;59,16;59,64;57,58;60,95;12,56;13,41;15,29
16054;Suhl, Stadt;Kreise;15,14;13,68;16,21;16,25;16,49;16,64;53,1;45,84;53,53;60,06;58,47;9,44;12,67;12,01
16055;Weimar, Stadt;Kreise;8,7;9,2;9,53;9,44;9,52;9,52;54,21;55,92;53,5;59,49;59,63;11,2;12,66;15,44
16061;Eichsfeld;Kreise;4,13;4,21;3,61;4,29;3,58;2,79;45,83;47,17;50,36;52,29;52,23;5,15;5,93;6,88
16062;Nordhausen;Kreise;11,54;11,62;11,91;13,01;12,1;12,02;49,11;52,14;56,11;55,06;56,76;5,48;6,57;6,84
16063;Wartburgkreis;Kreise;5,54;5,71;6,1;6,02;6,17;6,22;50,27;54,01;55,97;54,2;55,03;6,39;6,49;7,76
16064;Unstrut-Hainich-Kreis;Kreise;12,27;12,41;12,71;12,45;12,24;11,69;50,29;53,96;54,28;56,65;57,72;4,79;5,67;6,04
16065;Kyffhäuserkreis;Kreise;5,99;6,09;5,44;6,21;5,41;5,65;48,74;51,2;55,5;60,51;59,93;4,54;6,22;6,57
16066;Schmalkalden-Meiningen;Kreise;6,45;5,64;5,55;5,84;5,5;5,48;56,19;54,38;53,8;59,02;60,12;4,62;5,73;6,03
16067;Gotha;Kreise;3,75;3,75;3,9;3,95;4,01;4,04;48,89;49,83;50,91;55,64;55,22;5,74;6,34;7,87
16068;Sömmerda;Kreise;0;0;0;0;0;0;56,27;55,15;59,18;63,99;62,4;3,31;3,42;5,02
16069;Hildburghausen;Kreise;7,96;7,9;8,17;8,31;7,96;7,81;50,46;51,46;57,69;59,08;61,47;3,84;5,03;5,06
16070;Ilm-Kreis;Kreise;5,14;5,32;5,14;5,16;5,07;5,1;52,61;56,02;54,61;54,46;60,46;6,5;7,31;7,85
16071;Weimarer Land;Kreise;12,97;12,82;11,98;12,01;12,61;12,09;53,6;55,87;59,84;59,76;56,36;4,48;5,79;6,52
16072;Sonneberg;Kreise;6,83;6,51;5,71;6,6;5,38;5,43;51,54;53,34;53,18;57,79;57,9;7,03;8,3;10,01
16073;Saalfeld-Rudolstadt;Kreise;9,18;9,45;9,37;9,68;9,11;9,51;51,04;56,65;61,03;61,75;58,03;3,31;4,65;5,29
16074;Saale-Holzland-Kreis;Kreise;7,73;7,88;7,97;7,9;7,99;8,02;55,65;58,33;60,21;64,39;63,08;1,98;2,09;2,66
16075;Saale-Orla-Kreis;Kreise;1,46;1,47;1,51;1,52;1,53;1,21;52,99;52,93;55,6;61,28;58,66;4,73;5,92;6,69
16076;Greiz;Kreise;4,08;4,06;4,1;4,14;4,16;3,93;57,97;61,68;64,92;60,57;63,12;3,86;4,75;4,8
16077;Altenburger Land;Kreise;6,56;6,82;6,91;6,97;6,61;6,65;51,89;54,54;53,36;57,19;59,52;4,14;5,56;5,98
