Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Bevölkerung gesamt
"07312";"Kaiserslautern, kreisfreie Stadt";"Kreise";"99.684,00";"99.292,00"
"07313";"Landau in der Pfalz, kreisfreie Stadt";"Kreise";"46.292,00";"46.919,00"
"07314";"Ludwigshafen am Rhein, kreisfreie Stadt";"Kreise";"168.497,00";"172.145,00"
"07315";"Mainz, kreisfreie Stadt";"Kreise";"215.110,00";"217.556,00"
"07316";"Neustadt an der Weinstraße, kreisfreie Stadt";"Kreise";"53.353,00";"53.491,00"
"07317";"Pirmasens, kreisfreie Stadt";"Kreise";"40.632,00";"40.054,00"
"07318";"Speyer, kreisfreie Stadt";"Kreise";"50.931,00";"50.565,00"
"07319";"Worms, kreisfreie Stadt";"Kreise";"83.081,00";"83.850,00"
"07320";"Zweibrücken, kreisfreie Stadt";"Kreise";"34.270,00";"34.091,00"
"07331";"Alzey-Worms";"Kreise";"128.519,00";"131.330,00"
"07332";"Bad Dürkheim";"Kreise";"132.739,00";"133.206,00"
"07333";"Donnersbergkreis";"Kreise";"75.102,00";"75.569,00"
"07334";"Germersheim";"Kreise";"128.477,00";"129.313,00"
"07335";"Kaiserslautern";"Kreise";"105.649,00";"106.853,00"
"07336";"Kusel";"Kreise";"70.764,00";"69.949,00"
"07337";"Südliche Weinstraße";"Kreise";"110.622,00";"111.279,00"
"07338";"Rhein-Pfalz-Kreis";"Kreise";"153.629,00";"155.050,00"
"07339";"Mainz-Bingen";"Kreise";"209.785,00";"212.420,00"
"07340";"Südwestpfalz";"Kreise";"95.474,00";"94.819,00"
"08111";"Stuttgart, Stadtkreis";"Kreise";"632.743,00";"626.275,00"
"08115";"Böblingen";"Kreise";"389.548,00";"393.195,00"
"08116";"Esslingen";"Kreise";"532.447,00";"533.388,00"
"08117";"Göppingen";"Kreise";"256.345,00";"259.046,00"
"08118";"Ludwigsburg";"Kreise";"542.630,00";"544.679,00"
"08119";"Rems-Murr-Kreis";"Kreise";"424.878,00";"427.316,00"
"08121";"Heilbronn, Stadtkreis";"Kreise";"125.113,00";"125.613,00"
"08125";"Heilbronn";"Kreise";"340.772,00";"347.798,00"
"08126";"Hohenlohekreis";"Kreise";"111.392,00";"113.318,00"
"08127";"Schwäbisch Hall";"Kreise";"194.203,00";"199.398,00"
"08128";"Main-Tauber-Kreis";"Kreise";"132.189,00";"132.956,00"
"08135";"Heidenheim";"Kreise";"132.006,00";"132.958,00"
"08136";"Ostalbkreis";"Kreise";"312.422,00";"315.009,00"
"08211";"Baden-Baden, Stadtkreis";"Kreise";"54.718,00";"55.527,00"
"08212";"Karlsruhe, Stadtkreis";"Kreise";"311.919,00";"306.502,00"
"08215";"Karlsruhe";"Kreise";"442.673,00";"448.487,00"
"08216";"Rastatt";"Kreise";"230.216,00";"232.296,00"
"08221";"Heidelberg, Stadtkreis";"Kreise";"160.601,00";"159.245,00"
"08222";"Mannheim, Stadtkreis";"Kreise";"307.997,00";"311.831,00"
"08225";"Neckar-Odenwald-Kreis";"Kreise";"143.376,00";"143.929,00"
"08226";"Rhein-Neckar-Kreis";"Kreise";"546.745,00";"549.030,00"
"08231";"Pforzheim, Stadtkreis";"Kreise";"124.289,00";"125.529,00"
"08235";"Calw";"Kreise";"157.424,00";"160.686,00"
"08236";"Enzkreis";"Kreise";"198.369,00";"200.237,00"
"08237";"Freudenstadt";"Kreise";"117.456,00";"119.183,00"
"08311";"Freiburg im Breisgau, Stadtkreis";"Kreise";"229.636,00";"231.848,00"
"08315";"Breisgau-Hochschwarzwald";"Kreise";"262.405,00";"265.792,00"
"08316";"Emmendingen";"Kreise";"164.712,00";"167.945,00"
"08317";"Ortenaukreis";"Kreise";"425.932,00";"434.535,00"
"08325";"Rottweil";"Kreise";"138.858,00";"140.446,00"
"08326";"Schwarzwald-Baar-Kreis";"Kreise";"211.207,00";"213.385,00"
"08327";"Tuttlingen";"Kreise";"139.397,00";"142.414,00"
